,,Don't have ducting,Tier 1: Feasible,Tier 2: Feasible vs. Alternative,Tier 3: Subsidy-Dependent Feasibility,Tier 4: Averse,Total
1A,urban,7.0,0.0,4.0,0.0,4.0,15.0
1A,suburban,25.0,0.0,39.0,0.0,50.0,114.0
1A,rural,11.0,0.0,2.0,0.0,2.0,15.0
2A,urban,13.0,0.0,20.0,3.0,45.0,81.0
2A,suburban,50.0,0.0,267.0,14.0,392.0,723.0
2A,rural,17.0,0.0,53.0,2.0,52.0,124.0
2B,urban,5.0,0.0,15.0,1.0,23.0,44.0
2B,suburban,6.0,0.0,35.0,0.0,67.0,108.0
2B,rural,0.0,0.0,3.0,0.0,3.0,6.0
3A,urban,9.0,0.0,11.0,19.0,35.0,74.0
3A,suburban,33.0,0.0,164.0,133.0,314.0,644.0
3A,rural,28.0,0.0,149.0,33.0,136.0,346.0
3B,urban,52.0,0.0,7.0,7.0,86.0,152.0
3B,suburban,63.0,0.0,12.0,24.0,466.0,565.0
3B,rural,1.0,0.0,3.0,2.0,20.0,26.0
3C,urban,15.0,0.0,0.0,1.0,24.0,40.0
3C,suburban,22.0,0.0,0.0,15.0,109.0,146.0
3C,rural,1.0,0.0,0.0,0.0,1.0,2.0
4A,urban,209.0,0.0,13.0,65.0,98.0,385.0
4A,suburban,124.0,0.0,100.0,381.0,332.0,937.0
4A,rural,35.0,0.0,124.0,79.0,162.0,400.0
4B,urban,0.0,0.0,0.0,3.0,0.0,3.0
4B,suburban,3.0,0.0,0.0,12.0,20.0,35.0
4B,rural,2.0,0.0,1.0,11.0,10.0,24.0
4C,urban,13.0,0.0,2.0,14.0,5.0,34.0
4C,suburban,28.0,0.0,10.0,81.0,40.0,159.0
4C,rural,11.0,0.0,6.0,2.0,18.0,37.0
5A,urban,92.0,0.0,0.0,66.0,43.0,201.0
5A,suburban,225.0,0.0,4.0,820.0,241.0,1290.0
5A,rural,35.0,0.0,5.0,220.0,52.0,312.0
5B,urban,2.0,0.0,0.0,20.0,3.0,25.0
5B,suburban,18.0,0.0,7.0,137.0,45.0,207.0
5B,rural,18.0,0.0,4.0,28.0,21.0,71.0
6A,urban,11.0,0.0,0.0,14.0,3.0,28.0
6A,suburban,37.0,0.0,0.0,159.0,23.0,219.0
6A,rural,33.0,0.0,0.0,173.0,38.0,244.0
6B,urban,0.0,0.0,0.0,0.0,0.0,0.0
6B,suburban,1.0,0.0,0.0,6.0,0.0,7.0
6B,rural,15.0,0.0,0.0,39.0,13.0,67.0
7A,urban,0.0,0.0,0.0,0.0,0.0,0.0
7A,suburban,1.0,0.0,0.0,6.0,1.0,8.0
7A,rural,6.0,0.0,0.0,46.0,3.0,55.0
7B,urban,0.0,0.0,0.0,0.0,0.0,0.0
7B,suburban,0.0,0.0,0.0,0.0,0.0,0.0
7B,rural,1.0,0.0,0.0,8.0,0.0,9.0
7AK,suburban,0.0,0.0,0.0,0.0,0.0,0.0
7AK,urban,3.0,0.0,0.0,2.0,2.0,7.0
7AK,rural,6.0,0.0,0.0,0.0,1.0,7.0
8AK,suburban,0.0,0.0,0.0,0.0,0.0,0.0
8AK,urban,0.0,0.0,0.0,0.0,0.0,0.0
8AK,rural,4.0,0.0,0.0,0.0,0.0,4.0
